,,,,,,,,,,,,,,,,,,,,,,,,
-253,-138,-33,62,147,222,287,322,387,422,447,462,467,462,447,422,387,322,287,222,147,62,-33,-138,-253
-171,-76,9,84,149,204,249,284,309,324,329,324,309,284,249,204,149,84,9,-76,-171,,,,
-21,-6,7,18,27,34,39,42,43,42,39,34,27,18,7,-6,-21,,,,,,,,
-11,0,9,16,21,24,25,24,21,16,9,0,-11,,,,,,,,,,,,
-21,14,39,54,59,54,39,14,-21,,,,,,,,,,,,,,,,
-3,12,17,12,-3,,,,,,,,,,,,,,,,,,,,
